pr_number,lines_of_code_changed,number_of_files_changed,labels,number_of_assignees,number_of_linked_issues,time_since_last_commit,issue_text,number_of_reviews_requested,number_of_milestones,dependency_changes,number_of_commits,test_coverage,repo,issue_text_wordiness,label_count,Issue Lifetime,day_of_week,weekday,Author PRs Opened,Open PRs at Open Date,Issues Closed in Last 2 Weeks,Issues Opened in Last 2 Weeks
7283,15,4,[],0,0,104097.560665,,0,0,False,1,,1,0,0,2,0,1,19,3,40,37
7281,36,1,[],0,0,104113.517472,,0,0,False,1,,1,0,0,2,0,1,18,2,39,37
7266,4,1,[],0,0,116064.72226,resolves short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,2,,1,100,0,3,4,1,0,0,37,32
7284,16,1,[],1,0,104150.883698,resolves fix app crash when toggling toolbar buttons off use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,95,0,1,0,1,22,4,38,38
7277,2,1,[],1,0,188982.37416,in continuation of replace warning with debug as warning produces modal dialog on windows which not useful for the user and may interfere with ci tests use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,1,0,False,1,,1,114,0,2,6,0,20,2,37,35
7280,24,1,[],1,0,105619.570571,is deprecated as of use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,2,,1,92,0,2,0,1,21,1,37,36
7269,174,1,[],0,0,259193.074813,update polish translation major fixes audio unit should not be translated sample translated as like sample rate greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,129,0,2,4,1,6,2,36,34
7270,104,8,[],0,0,361257.262437,resolves,0,0,False,1,,1,2,0,2,4,1,23,3,36,35
7254,105,9,[],0,0,445337.433579,resolves,0,0,False,1,,1,2,0,2,2,1,21,1,40,39
7215,4,1,[],0,0,460214.442665,,0,0,False,1,,1,0,0,3,4,1,24,3,41,38
7238,132,4,[],0,0,532623.535639,resolves on certain combination of wxwidgets versions and os waveform painting was corrupting the memory and resulted in white screen use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,4,,1,2,0,3,1,1,2,5,17,14
6955,2,1,['bug'],1,0,535514.908873,resolves,0,1,False,1,,1,108,1,2,2,1,17,3,43,41
7249,60,6,[],0,0,532287.946156,resolves,0,0,False,2,,1,2,0,2,2,1,19,2,40,40
7248,131,9,[],0,0,538872.94867,resolves,0,0,False,1,,1,2,0,1,2,1,20,3,41,41
7252,6,1,[],0,0,533964.352391,resolves,0,0,False,1,,1,2,0,2,1,1,16,3,39,40
7241,182,13,[],0,0,546091.49855,update polish translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,3,,1,2,0,2,5,0,5,5,45,42
7222,4,1,[],0,0,673433.542311,resolves rather large pr but where no new functionality is written only things are moved around use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,110,0,4,1,1,13,3,38,35
7181,6500,50,[],1,0,547175.269866,resolves,1,0,False,22,,1,104,0,3,4,1,12,3,42,39
7217,35,2,[],0,0,636118.47146,resolves,0,0,False,1,,1,2,0,2,0,1,14,3,41,41
7225,21,3,[],0,0,698877.59572,don know yet how it will all work set parameters apply this is only defining the file structure for built in effects registering effects and view models view blanks open effect dialog was already done just slightly corrected,0,0,False,1,,1,2,0,2,3,1,18,4,36,30
7141,530,23,[],0,0,708093.128362,resolves,0,1,False,4,,1,42,0,3,4,1,18,5,46,41
7219,222,6,[],0,0,730593.168061,,0,0,False,1,,1,2,0,3,0,1,20,2,40,30
7159,519,33,[],0,0,709984.255882,resolves,0,1,False,4,,1,0,0,3,4,1,13,6,41,42
7220,39,1,[],0,0,717191.320052,,0,0,False,1,,1,2,0,2,4,1,5,4,44,40
7218,29836,8,[],0,0,892508.832383,resolves,0,0,False,1,,1,0,0,2,4,1,11,4,42,38
7216,35,5,[],0,0,962922.53571,resolves short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,3,,1,2,0,3,2,1,16,4,44,37
7205,5,1,[],1,0,965176.860349,rebased by dandelionsprout onto instead of master,0,0,False,1,,1,88,0,3,1,1,4,1,43,33
7194,46,8,[],1,0,978358.014205,,0,0,False,1,,1,100,0,2,3,1,23,5,43,38
7178,1618,1,[],0,0,940352.116129,resolves if audacity is showing during launch ie on clean installation the splash screen never fade out and crashes the app if the dialog is clicked use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,9,0,2,2,1,17,3,43,37
7210,597,6,[],0,0,983652.194845,,0,0,False,2,,1,0,0,2,3,1,22,5,42,37
7199,30,1,[],1,0,1047732.448656,resolves,1,0,False,1,,1,114,0,1,2,1,17,3,42,36
7203,410,9,[],0,0,1057694.461121,resolves,0,0,False,2,,1,0,0,2,2,1,16,2,43,35
7191,61,5,[],0,0,1133343.017741,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,2,2,1,18,4,41,38
7188,237,15,[],0,0,1130739.170706,,0,0,False,1,,1,2,0,2,1,1,21,2,41,34
7200,2,1,[],1,0,1064429.33295,resolves paste behaviour change when pasting all clips and labels to the right from the beginning of selection intrval should move accordingly if sync lock disabled and clips can move option is enabled signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa please check operations that involve track copying with two types of selections one that ends inside wave clip second one that has ends with emptiness it may also be an empty wave interval copy paste cut paste split cut paste effect preview effect repeat,0,0,False,1,,1,88,0,3,3,1,7,6,41,33
7179,395,17,[],0,0,1171781.121989,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa the following effects have been relocated please verify esp on mac and linux where haven done it myself that the effects are still discovered and made available in the effect menu fade in fade out reverse repair stereo to mono tracks mix stereo to mono invert also applying reverse with label track selected still reverses the labels,0,0,False,3,,1,0,0,2,0,1,12,5,41,34
7146,71,10,[],0,0,1228443.47951,,0,0,False,2,,1,163,0,2,0,1,10,5,39,35
7168,1282,49,[],1,0,1240921.573536,resolves,0,0,False,8,,1,163,0,2,0,1,9,5,38,33
7170,2,1,[],0,0,1253658.699073,resolves,0,0,False,1,,1,0,0,2,0,1,15,3,37,31
7166,307,4,[],0,0,1320073.231167,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa none,1,0,False,2,,1,2,0,1,0,1,11,4,35,32
7163,22,4,[],0,0,1320218.599087,resolves use deque instead of vector to prevent reallocations use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,4,1,1,11,8,36,35
7165,115,21,[],1,0,1327831.778104,resolves,0,0,False,1,,1,90,0,3,3,1,13,4,34,28
7090,121,3,[],1,0,1325635.87107,from as is,0,0,False,2,,1,96,0,3,4,1,19,3,33,33
7139,5,2,[],0,0,1339162.047754,,0,0,False,1,,1,2,0,2,3,1,3,3,34,29
7149,555,33,[],0,0,1346336.587986,resolves,0,0,False,1,,1,5,0,2,3,1,8,5,35,32
7140,31,2,[],0,0,1587717.221985,added global delete for trackedit which depending on the system state calls the correct action,0,1,False,1,,1,0,0,3,2,1,6,3,34,26
7145,79,7,[],0,0,1604648.015355,resolves,0,0,False,2,,1,2,0,1,3,1,14,5,33,31
7132,81,5,[],0,0,1604666.534215,qa attempt to sync with remote project when there is no local copy could crash the app when something goes wrong should be more or less reproducible with remote project created in bit and clean directory signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,15,0,2,1,1,6,1,31,27
7143,1,1,[],0,0,1664496.814202,resolves to qa could you test any other multichannel formats to check if they are handled properly use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,3,2,1,14,4,33,27
7126,7,2,['crash / freeze'],1,0,1670689.08647,resolves wait until the main window is visible before hiding the splash screen fade out splash screen instead of simply hiding it to qa please test this pr on all available platforms as it may behave differently depending on the system use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,1,False,1,,1,114,0,2,2,1,15,4,32,28
7133,18,1,[],1,0,1672254.022414,resolves resolves,1,0,False,1,,1,104,0,1,3,1,12,4,32,27
7135,125,2,[],1,0,1674518.558992,improves the situation with but with very fast zoom in and zoom out audacity still crashes,1,0,False,1,,1,129,0,2,2,1,7,5,32,29
7138,15,4,[],0,0,1679392.797938,resolves,0,0,False,2,,1,4,0,2,2,1,5,2,30,25
7136,17,2,[],0,0,1687797.59371,resolves problem in when importing audio files the time selection is set to cover the audio in the last imported file this is change wrt previous versions can means that users loose any previously set time selection it was introduced by the commit fix remove the setting of the time selection when importing audio files use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,1,0,False,1,,1,17,0,4,0,1,0,1,33,8
7129,2,1,[],0,0,1758758.833753,resolves,0,0,False,1,,1,2,0,2,0,1,2,3,32,30
7098,3,1,[],1,0,1845324.285922,,1,0,False,1,,1,144,0,2,1,1,17,5,30,28
6934,4,1,[],0,0,1845397.553546,resolves,1,0,False,1,,1,151,0,2,0,1,4,3,30,30
7118,6,1,[],0,0,1845570.276962,now when selecting track in the corresponding tracks are selected in if an error occurred during the recording process we now show dialog with description of this error enabled restart when reverting to factory settings fixed crash on first launch after reverting settings fixed bug when matching keys in settings,0,0,False,1,,1,2,0,3,5,0,3,7,30,32
7122,6,1,[],1,0,1847663.226416,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,1,0,False,1,,1,92,0,3,1,1,8,9,29,34
7123,149,15,[],0,0,1855479.219048,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,0,0,3,1,1,7,9,28,36
7117,2,1,[],0,0,1932178.122464,resolves build failure and later merged different definitions of the same declarations this pr resolves this note that in the project this should probably be resolved in follow up pr as discussed in this and following comments this pr only does the necessary to repair the build and remove unnecessary sources from the build tree use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,1,0,1,10,6,27,29
7109,275,12,[],0,0,1946513.171118,,0,0,False,5,,1,63,0,3,2,1,2,8,28,33
7095,663,5,[],0,0,1946909.746801,resolves the scope of this pr is to verify that the audacity effect framework can be re used in audacity for destructive effects probably paving the way for realtime effects too the is central in that regard as it takes care of built in effects plugins vst and such generators analyzers and macro commands and possibly more detecting them and making all relevant information accessible through its api on top of that the function encapsulates the audacity application logic resulting from user applying destructive effect on some selection querying the data from the wave track selections invoking the ui if needed driving the effect whose id was given as input writing back the result remembering what effect was last used etc this pr also provides the specific implementation for dummy compressor demonstrating how developer may get started importing an audacity effect to audacity commit detail non wxwidget based standard paths windows and mac only for now the plugin manager currently relies on wxwidgets app to run to find paths such as the executable path this commit adds platform dependent code that does this without the the need for wxwidgets app doeffect reusable by had some other dependencies on wxwidgets sometimes indirect ones on the or the which had to be abstracted away the contains some of the application logic of what happens when audacity users apply an effect the are an abstraction of the well known macro commands which allow user to execute with one click series of operations select all tracks apply noise reduction and export to wav file all at once this abstraction allows the plugin manager to manage these commands like other effect types compressorinstance part of lib audacity an example of the code that needs to compile for given effect to be found by the pluginmanager now in the plugin manager can find at least one effect and we can use it to process audio such work will have to be done one per effect basis initializes pluginmanager does just what it says selection change updates viewinfo and tracklist selection without this thinks no audio is selected and then nothing happens what this pr does not do is connecting the audacity effects menu to usage of the function another poc branch based on this one exists with hack commit that does this quick and dirty to verify that things work as expected signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa list this is refactoring pr an no behavior whatsoever should have changed the changes are simple mostly renaming and moving code around but rather widespread while testing please don hesitate to choose test cases that seem related to the list below even if only vaguely please all test cases you have on macros applying generators analyzers tools or destructive effects still works when successfully applying an effect tool analyzer or generator the effect menu displays correctly repeat editing clip name still works,0,0,False,2,,1,88,0,4,4,1,6,4,26,34
7092,524,18,[],0,0,1947142.793849,resolves removed the redundant enable from enable extra menus in the view menu use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,4,,1,88,0,4,1,1,1,6,25,38
7116,33,5,[],1,0,1947429.531232,update polish translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,146,0,3,3,1,4,8,30,34
7099,1435,40,[],0,0,1950546.683185,resolves,0,0,False,13,,1,0,0,2,4,1,1,9,29,34
7017,3527,56,[],1,0,1956411.894914,,0,0,False,2,,1,605,0,1,4,1,16,9,27,33
7040,2,1,[],0,0,1956936.481347,resolves change ui strings where the distinction is important rename methods variables and comments use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa mixer board slider including tooltip if any shows volume instead of gain changing track volume through track or mixer board slider adds history item that mentions volume and not gain track slider tooltip when hovering and when dragging all say volume track volume changes in previous audacity version are preserved when opening the project with this build,0,0,False,1,,1,100,0,2,3,1,9,9,27,34
7100,16,1,[],0,0,2193303.575421,resolves channel maps disabled when exporting with master effects on qa check stereo to mono and mono to stereo export additionally please check for regression mix and render and stereo to mono signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,110,0,4,2,1,5,7,28,37
7106,4,4,[],0,0,2194606.774456,resolves follow up to cleanup and theming support use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,3,4,1,10,6,29,39
7105,2,1,[],0,0,2203235.910837,resolves,0,0,False,1,,1,0,0,3,0,1,11,6,27,39
7101,452,29,[],1,0,2274813.239448,update polish translation fixed action translations in some cases greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,2,,1,171,0,3,1,1,3,7,29,36
7055,695,12,[],0,0,2355524.39087,resolves reset and prefs on command repaint the waveform after settings were changed use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,3,,1,110,0,2,4,1,9,4,36,37
7074,32,2,[],1,0,2334580.5367,resolves,0,0,False,2,,1,95,0,3,4,1,10,5,32,38
7080,15,4,[],0,0,2357059.969847,,0,0,False,1,,1,2,0,2,4,1,15,7,37,40
7085,14,1,[],0,0,2387399.688393,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,116,0,3,3,1,8,9,38,40
7071,50,9,[],1,0,2710394.117892,update polish translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,107,0,3,0,1,2,5,37,37
7073,473,16,[],0,0,2449826.309318,update german translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,4,,1,2,0,3,5,0,1,5,36,35
7075,2,1,[],0,0,2715867.453793,due to regression after the stereo to mono split both new tracks were assigned the same id which should be unique to all tracks this was causing weird behavior including data loss and crashes resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes in behavior,0,0,False,1,,1,0,0,2,2,1,7,7,36,38
7063,16,1,[],1,0,2801001.927899,resolves added knob with tooltip as separate element slightly changed knobcontrol to handle hover and drag states properly which is required for the tooltip display use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,1,0,False,1,,1,88,0,3,0,1,6,4,37,36
7039,24,1,[],0,0,2806052.830323,resolves resolves,0,0,False,1,,1,110,0,3,0,1,9,3,37,35
7023,134,1,[],0,0,2806084.49475,,1,0,False,1,,1,110,0,2,3,1,1,8,36,39
7060,9,3,[],1,0,2877781.612117,,0,0,False,1,,1,122,0,2,2,1,14,9,36,38
7038,178,6,[],1,0,2885417.929543,,0,0,False,1,,1,116,0,2,2,1,13,8,35,38
7037,346,13,[],0,0,2885629.015966,,0,0,False,4,,1,4,0,2,1,1,11,7,35,39
7062,896,30,[],0,0,2891890.081673,,0,0,False,2,,1,0,0,2,1,1,12,7,36,39
7058,42,11,[],0,0,2972445.182799,update polish translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,0,0,3,5,0,0,4,35,34
7056,112,16,[],0,0,2975697.285678,,0,0,False,1,,1,0,0,1,0,1,10,3,36,36
7047,550,19,[],0,0,3054173.545085,resolves,0,0,False,1,,1,0,0,2,0,1,8,3,35,37
7051,711,29,[],0,0,3038415.730664,signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,0,0,3,5,0,0,6,33,36
7022,110,1,[],0,0,3129749.701224,resolves fix locale content typo disabled means in chinese sounds like but means only use so it is typo and this pull request will fix it use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,110,0,4,6,0,0,3,36,22
7035,1285,77,[],0,0,3141332.579289,,0,0,False,1,,1,0,0,2,4,1,9,5,32,35
7032,22,3,[],0,0,3153845.225293,resolves thanks leo and peter for the superfast feedback changed the two insane strings to excessive and removed the comments above them worked only in use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,3,4,1,0,2,34,34
7024,106,1,[],0,0,3172521.120884,resolves,0,0,False,1,,1,77,0,1,4,1,7,3,31,33
6978,4,1,[],0,0,3174403.880833,resolves,0,0,False,1,,1,117,0,2,3,1,6,3,33,35
7019,390,6,[],0,0,3379663.656921,,0,0,False,1,,1,0,0,1,3,1,8,3,34,34
7014,6,1,[],0,0,3175067.760946,resolves adjust visuals depending on the number of channels for the track use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,115,0,2,2,1,5,3,32,34
7016,25,4,[],0,0,3401531.835568,resolves qa please check that projects created on both bit and bit projects could be synced on either architecture signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,2,0,2,1,1,3,5,31,33
7003,40,4,[],0,0,3409538.994783,resolves qa attempt to open project that was created in previous version should also succeed signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,77,0,2,1,1,2,5,29,30
7010,409,12,[],0,0,3489152.241207,resolves used wxdialogwrapper the shuttle gui system to create new dialog box with both the lower speed limit spinctrl and upper speed limit spinctrl in one place used audacitymessagebox to show an error message and block the user from setting invalid limits use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,2,,1,2,0,4,2,1,0,6,30,15
7012,6,2,[],0,0,3485787.387815,,0,0,False,1,,1,0,0,1,1,1,7,6,27,31
